"id","catalogueNumber","scientificNameIntepreted","latitude","longitude","coordinateUncertaintyInMetres","month","year","basisOfRecord"
"00462e5d-830b-4d6e-a965-ea58489736e6","NSW824249","Argyrodendron trifoliolatum",-28.8,153.28,10000,6,1891,"PRESERVED_SPECIMEN"
"01675065-de4a-4e0d-92ea-49ade22712c5","CANB 358824.1","Argyrodendron trifoliolatum",-28.2,153.2333,10000,7,1977,"PRESERVED_SPECIMEN"
"02236dd7-6fa9-448e-8be4-289b455f75c0","BRI AQ0331593","Argyrodendron trifoliolatum",-27.0567400214456,152.709402,2000,2,1972,"PRESERVED_SPECIMEN"
"029193c9-c349-47db-aacc-f3a8091fbfa3","NE 107360","Argyrodendron trifoliolatum",-28.433333,153.466667,NA,4,1896,"PRESERVED_SPECIMEN"
"045906c1-868a-499d-a457-cc7df357d84d","BRI AQ0421298","Argyrodendron trifoliolatum",-26.7734080209737,152.859398,2000,NA,NA,"PRESERVED_SPECIMEN"
"0641d2e7-3673-44b9-9dd3-34044ab99635","BRI AQ0081191","Argyrodendron trifoliolatum",-26.3734090203087,152.759393,2000,5,1970,"PRESERVED_SPECIMEN"
"064e0ca6-89ed-4477-89e9-58e75cd84dc0","CBG 17542.1","Argyrodendron trifoliolatum",-26.2833,152.5333,1000,5,1967,"PRESERVED_SPECIMEN"
"0657e363-d6ae-4e69-8823-ccc04be55bfb","BRI AQ0081190","Argyrodendron trifoliolatum",-26.5817410206549,152.917731,25000,4,1918,"PRESERVED_SPECIMEN"
"069e037b-0e21-465c-9aa0-dbb559f8a925","NSW824244","Argyrodendron trifoliolatum",-28.82,153.42,25000,NA,NA,"PRESERVED_SPECIMEN"
"07a90e39-e46b-4097-87b4-3244932008af","BRI AQ0784713","Argyrodendron trifoliolatum",-24.6011960173988,151.843841,100,1,2008,"PRESERVED_SPECIMEN"
"07fab059-576c-4b35-8471-7218fe652b17","NSW125603","Argyrodendron trifoliolatum",-28.9,153.4,5000,7,1969,"PRESERVED_SPECIMEN"
"08edbae6-5201-4ff6-9902-1fc6492943a4","BRI AQ0379558","Argyrodendron trifoliolatum",-27.3734060219735,152.759402,2000,5,1970,"PRESERVED_SPECIMEN"
"0ce66707-fc73-471c-ac86-4c74af99ff28","BRI AQ0379560","Argyrodendron trifoliolatum",-27.3734060219735,152.759402,2000,NA,NA,"PRESERVED_SPECIMEN"
"0d29076b-6b16-42f6-bd45-a6fed327dee5","BRI AQ0494909","Argyrodendron trifoliolatum",-28.1881230233314,153.426625,100,NA,NA,"PRESERVED_SPECIMEN"
"0d6e3224-f8e1-437a-b0e8-0c5aad003fba","BRI AQ0081182","Argyrodendron trifoliolatum",-27.4400690220847,153.009394,2000,9,1876,"PRESERVED_SPECIMEN"
"0ea9c62d-7665-4af4-be2e-64af534d0b61","AD 98809202","Argyrodendron trifoliolatum",-26.7652845569873,152.85085988345,10000,11,1969,"PRESERVED_SPECIMEN"
"0f2014b3-25a2-46b9-ba93-67b1ad881a26","NSW824246","Argyrodendron trifoliolatum",-28.63,153.28,25000,3,1933,"PRESERVED_SPECIMEN"
"12a828c9-e490-461a-9006-bb66afdcc46d","BRI AQ0081188","Argyrodendron trifoliolatum",-26.9150810212096,151.917747,25000,8,1917,"PRESERVED_SPECIMEN"
"15e93538-8a5d-414d-8d0b-00ea0ab4c184","BRI AQ0314080","Argyrodendron trifoliolatum",-24.5234170172731,151.492736,2000,7,1978,"PRESERVED_SPECIMEN"
"16364628-9d1d-4315-a958-ced547182749","BRI AQ0778109","Argyrodendron trifoliolatum",-28.1978450233476,153.375792,100,6,2003,"PRESERVED_SPECIMEN"
"16858118-8e5f-4d34-9125-01c63388b469","NSW824253","Argyrodendron trifoliolatum",-28.82,153.3975,10000,6,1957,"PRESERVED_SPECIMEN"
"188f852b-a571-4ad4-aac9-5a85cb1a42d2","NE 7440","Argyrodendron trifoliolatum",-28.833333,153.433333,NA,11,1959,"PRESERVED_SPECIMEN"
"1d18c21f-f2f3-46c4-98b4-4ee607740ce7","BRI AQ0010761","Argyrodendron trifoliolatum",-26.8736920211407,151.602469,100,12,1954,"PRESERVED_SPECIMEN"
"1d3ad839-cc86-424f-b844-e95abe50284e","CANB 345366.1","Argyrodendron trifoliolatum",-24.5167,151.4667,5000,4,1980,"PRESERVED_SPECIMEN"
"1f05b145-de76-4554-817b-977c03c623f8","MEL 0239850A","Argyrodendron trifoliolatum",-27.25,153.0833,NA,NA,NA,"PRESERVED_SPECIMEN"
"1f56d13a-b72c-4e6c-9c7f-b300302e6192","BRI AQ0081164","Argyrodendron trifoliolatum",-26.4567420204471,152.67606,2000,8,1917,"PRESERVED_SPECIMEN"
"224d9a1b-738d-4e5e-9d3d-67d62920881a","MEL 2223864A","Argyrodendron trifoliolatum",-28.1667,153.55,10000,NA,1871,"PRESERVED_SPECIMEN"
"229012b6-ee0b-4624-b9ce-c9b68fd4c34a","MEL 2282398A","Argyrodendron trifoliolatum",-27.0667,152.45,NA,NA,1857,"PRESERVED_SPECIMEN"
"249633b8-3f57-4635-a13e-4466668d5199","NSW824238","Argyrodendron trifoliolatum",-28.9,153.52,25000,NA,NA,"PRESERVED_SPECIMEN"
"261a43a9-7e08-432c-8024-81bf6122d27b","MEL 2223863A","Argyrodendron trifoliolatum",-28.8167,152.9667,25000,NA,NA,"PRESERVED_SPECIMEN"
"2bdc5009-1dfd-4814-a642-bb5233466f95","BRI AQ0081189","Argyrodendron trifoliolatum",-28.2067340233624,153.192737,2000,7,1945,"PRESERVED_SPECIMEN"
"2c5858b2-d268-419e-a8ba-f9ff889bc345","NE 30764","Argyrodendron trifoliolatum",-30.45,152.9,NA,2,1974,"PRESERVED_SPECIMEN"
"2c900a3c-cd58-46e5-93db-f91ae3da9e34","QRS 53978.3","Argyrodendron trifoliolatum",-27.25,152.75,1000,7,1976,"PRESERVED_SPECIMEN"
"2eb67bc2-c2e4-43de-b27c-b522a9b9814a","PERTH 3392589","Argyrodendron trifoliolatum",-26.7666670209625,152.85,NA,11,1969,"PRESERVED_SPECIMEN"
"2fcde1e5-c635-4f63-8606-c8fb717615a0","NSW824252","Argyrodendron trifoliolatum",-28.8,153.28,10000,10,1891,"PRESERVED_SPECIMEN"
"3442cd84-d17d-46b9-a925-65a8748ed785","NE 7439","Argyrodendron trifoliolatum",-30.45,152.9,NA,2,1961,"PRESERVED_SPECIMEN"
"35205766-b214-4331-b634-63279b76b2b6","MEL 2282189A","Argyrodendron trifoliolatum",-26.6683,152.07,1000,8,2002,"PRESERVED_SPECIMEN"
"35793106-9866-4ebc-8593-8c5fdf7fca41","MEL 2223856A","Argyrodendron trifoliolatum",-28.3667,153.35,25000,NA,NA,"PRESERVED_SPECIMEN"
"36452127-7799-4790-8df4-d2f8433faafa","MEL 2223874A","Argyrodendron trifoliolatum",-27.15,152.5167,25000,9,1829,"PRESERVED_SPECIMEN"
"3693ada4-874a-44fd-b5cd-bdd2c68d5e04","MEL 2247212A","Argyrodendron trifoliolatum",-28.1994,153.3747,10000,6,2003,"PRESERVED_SPECIMEN"
"372d8d44-1b93-4e42-a417-19259f49394f","BRI AQ0081199","Argyrodendron trifoliolatum",-24.5817510173674,151.917729,25000,4,1920,"PRESERVED_SPECIMEN"
"387ee3b5-0d69-4489-9dbb-48111a92e8fe","MEL 2223860A","Argyrodendron trifoliolatum",-28.8167,152.9667,25000,3,1900,"PRESERVED_SPECIMEN"
"390deef7-51ea-478e-88db-48f4a662076d","CANB 575829.1","Argyrodendron trifoliolatum",-24.5167,151.3667,2000,9,1950,"PRESERVED_SPECIMEN"
"39169c55-a003-4b2c-8d9a-d6c2fceef1da","NSW824243","Argyrodendron trifoliolatum",-28.8,153.28,10000,6,1891,"PRESERVED_SPECIMEN"
"3a4ad575-bffc-453e-9fd2-6064a811122c","MEL 2223871A","Argyrodendron trifoliolatum",-29.1167,152.5667,25000,NA,NA,"PRESERVED_SPECIMEN"
"3c19ce6f-a8d1-4297-ac03-3a64993bf75a","CANB 210542.1","Argyrodendron trifoliolatum",-28.55,152.75,15000,2,1964,"PRESERVED_SPECIMEN"
"3d6d582e-22c9-4ed6-9e8a-8e4c738e3bef","CBG 17165.1","Argyrodendron trifoliolatum",-26.8333,151.9167,1000,5,1967,"PRESERVED_SPECIMEN"
"3db02647-a23f-48ba-874f-dd08edf039f7","NE 51714","Argyrodendron trifoliolatum",-30.45,152.9,NA,2,1961,"PRESERVED_SPECIMEN"
"3ef4a5d9-3c3c-4813-8447-ea483785bc27","CBG 34480.1","Argyrodendron trifoliolatum",-26.3667,152.75,1000,5,1970,"PRESERVED_SPECIMEN"
"3f6adeea-c78e-4382-8c83-f1bbd3a09dfa","BRI AQ0081179","Argyrodendron trifoliolatum",-27.2484060217651,152.917736,25000,3,1922,"PRESERVED_SPECIMEN"
"3f72ed07-45fe-4727-88b0-409e524207c8","CANB 6016.1","Argyrodendron trifoliolatum",-26.45,152.6833,2000,7,1941,"PRESERVED_SPECIMEN"
"3f9e2000-5d6b-4652-94b0-c2f6b544f8a3","CBG 9104839.1","Argyrodendron trifoliolatum",-25.2833,152.75,1000,9,1991,"PRESERVED_SPECIMEN"
"4103dd79-edbf-49f0-bee9-707a56141f44","MEL 2223868A","Argyrodendron trifoliolatum",-29.3,152.5167,25000,NA,NA,"PRESERVED_SPECIMEN"
"411050b7-5641-460f-b2f5-66b7e7fcc593","BRI AQ0081192","Argyrodendron trifoliolatum",-26.9150780212096,152.084406,25000,5,1921,"PRESERVED_SPECIMEN"
"42f8bbed-b087-4742-a7f0-dfa272d477df","MEL 2223859A","Argyrodendron trifoliolatum",-28.1667,153.55,10000,NA,NA,"PRESERVED_SPECIMEN"
"4575be37-bbed-4e9a-bde1-4b2ae777e684","CBG 8004371.1","Argyrodendron trifoliolatum",-28.2,153.1833,1000,6,1980,"PRESERVED_SPECIMEN"
"45dd7654-f646-4735-9c81-b19baf804a52","QRS 1184.1","Argyrodendron trifoliolatum",-26.4667,152.6833,25000,2,1935,"PRESERVED_SPECIMEN"
"46d6053f-dde7-495b-ba8e-5312b26d11e9","BRI AQ0731926","Argyrodendron trifoliolatum",-27.3350730219096,152.764958,100,10,2002,"PRESERVED_SPECIMEN"
"478252f0-c866-4242-af7c-175f255f1741","CANB 575740.1","Argyrodendron trifoliolatum",-27.3667,152.75,5000,5,1970,"PRESERVED_SPECIMEN"
"4a554ede-4354-4600-8a8e-8175ddba4e0f","NE 49616","Argyrodendron trifoliolatum",-28.833333,153.433333,NA,3,1989,"PRESERVED_SPECIMEN"
"4a87e783-6109-4f50-a699-dfbcb47f47c3","CANB 338822.1","Argyrodendron trifoliolatum",-26.7667,152.85,3000,6,1964,"PRESERVED_SPECIMEN"
"4a97b7ed-4d59-4647-b47f-2f91329edd40","BRI AQ0567067","Argyrodendron trifoliolatum",-25.5550830189559,151.843849,100,1,1993,"PRESERVED_SPECIMEN"
"4ad01faa-9250-41eb-9aa6-169e3a2d49cc","MEL 2282390A","Argyrodendron trifoliolatum",-27.25,153.0833,NA,NA,NA,"PRESERVED_SPECIMEN"
"4c76fcb9-930f-4e75-ad59-56b05dc207c0","BRI AQ0081167","Argyrodendron trifoliolatum",-25.9150760195495,152.584388,25000,11,1921,"PRESERVED_SPECIMEN"
"50b0f18d-68dc-4471-9f96-526065f62519","BRI AQ0081194","Argyrodendron trifoliolatum",-26.9150810212096,151.584414,25000,NA,NA,"PRESERVED_SPECIMEN"
"521b40d8-267d-44e9-83d8-c65ab14afeca","BRI AQ0838421","Argyrodendron trifoliolatum",-26.9234150212235,151.884496,100,4,2015,"PRESERVED_SPECIMEN"
"54215354-107f-4031-8061-5d6335ae4873","BRI AQ0322632","Argyrodendron trifoliolatum",-24.5189730172659,151.469125,100,4,1980,"PRESERVED_SPECIMEN"
"543b9451-4833-442e-81cd-9ccacaf3ba73","BRI AQ0081184","Argyrodendron trifoliolatum",-28.3445150235916,152.717189,100,10,1921,"PRESERVED_SPECIMEN"
"55f816bb-cef1-4872-9147-ab5f20fd6b9d","BRI AQ0940644","Argyrodendron trifoliolatum",-27.9651670229601,153.302028,100,NA,NA,"PRESERVED_SPECIMEN"
"59f1590f-16fb-40b0-837d-1526d205d1b1","NE 45317","Argyrodendron trifoliolatum",-28.266667,153.35,NA,12,1974,"PRESERVED_SPECIMEN"
"5efb7792-fcfc-41c7-9efc-2d3b142d1b89","CANB 345342.1","Argyrodendron trifoliolatum",-24.5167,151.4667,5000,4,1980,"PRESERVED_SPECIMEN"
"614fc9a0-53f2-469a-8678-351243c36eb1","BRI AQ0014031","Argyrodendron trifoliolatum",-26.2484090201013,152.75106,25000,NA,NA,"PRESERVED_SPECIMEN"
"615196f2-a83d-4331-b77a-80b38e68250f","BRI AQ0336177","Argyrodendron trifoliolatum",-27.2400730217512,152.759402,2000,2,1972,"PRESERVED_SPECIMEN"
"63cc549b-8ec9-4bc8-9edb-6c58b187a9db","MEL 2282393A","Argyrodendron trifoliolatum",-27.25,153.0833,NA,NA,NA,"PRESERVED_SPECIMEN"
"65d6d328-c2e1-44ea-9d44-c8a2be532582","BRI AQ0421164","Argyrodendron trifoliolatum",-26.7734080209737,152.859398,2000,6,1964,"PRESERVED_SPECIMEN"
